"G","X","id","cluster","period","Y","treat"
3,-0.876232989036364,1,5,1,5.56255635757505,1
3,-0.876232989036364,1,5,2,4.34921277942755,1
3,-0.876232989036364,1,5,3,7.13403726066075,1
3,-0.876232989036364,1,5,4,6.2430559679899,1
2,-0.873848106118649,2,36,1,-3.65938725652115,1
2,-0.873848106118649,2,36,2,-1.27409919304152,1
2,-0.873848106118649,2,36,3,3.50094804809236,1
2,-0.873848106118649,2,36,4,-0.164617175745292,1
2,0.510315296060181,4,6,1,1.90364553082116,1
2,0.510315296060181,4,6,2,4.09859052922546,1
2,0.510315296060181,4,6,3,6.31477397331371,1
2,0.510315296060181,4,6,4,11.6151719280889,1
4,1.22701202987861,5,13,1,4.60530260032233,1
4,1.22701202987861,5,13,2,5.58153380537791,1
4,1.22701202987861,5,13,3,7.64637782625028,1
4,1.22701202987861,5,13,4,11.0879005693666,1
3,-1.91559400826937,6,15,1,1.69877817912836,1
3,-1.91559400826937,6,15,2,1.32534017452126,1
3,-1.91559400826937,6,15,3,2.14151012352718,1
3,-1.91559400826937,6,15,4,0.856291155545143,1
4,-0.403072119790249,7,27,1,6.18019453207662,1
4,-0.403072119790249,7,27,2,6.86189966162512,1
4,-0.403072119790249,7,27,3,8.2207551986942,1
4,-0.403072119790249,7,27,4,9.61914682062927,1
2,-0.51204813343446,8,7,1,4.74830126949267,1
2,-0.51204813343446,8,7,2,6.9824889081,1
2,-0.51204813343446,8,7,3,7.81051328021914,1
2,-0.51204813343446,8,7,4,8.4325637413915,1
4,0.396144943918847,9,38,1,2.06688387136505,1
4,0.396144943918847,9,38,2,6.64517476407622,1
4,0.396144943918847,9,38,3,6.23068415985888,1
4,0.396144943918847,9,38,4,7.31836829156454,1
3,0.659846215948994,10,42,1,4.23659791234988,1
3,0.659846215948994,10,42,2,5.89116166563693,1
3,0.659846215948994,10,42,3,7.52269358557528,1
3,0.659846215948994,10,42,4,11.2158492894791,1
3,-1.46384493911788,11,46,1,5.3928872788511,1
3,-1.46384493911788,11,46,2,4.49407152614469,1
3,-1.46384493911788,11,46,3,4.93751425224665,1
3,-1.46384493911788,11,46,4,4.90088206964203,1
2,1.95719133170594,15,15,1,3.51162368353798,1
2,1.95719133170594,15,15,2,9.12592526509964,1
2,1.95719133170594,15,15,3,12.2665910185567,1
2,1.95719133170594,15,15,4,14.7840615496148,1
4,0.11024216802903,18,46,1,1.52371324033553,1
4,0.11024216802903,18,46,2,4.55727589145711,1
4,0.11024216802903,18,46,3,5.41705377285425,1
4,0.11024216802903,18,46,4,7.81579980342624,1
2,-1.35113254726,19,9,1,1.37363844113,1
2,-1.35113254726,19,9,2,1.2743586535231,1
2,-1.35113254726,19,9,3,2.13521706139233,1
2,-1.35113254726,19,9,4,-0.160203916774255,1
4,1.18106611936501,21,7,1,0.531185806119652,1
4,1.18106611936501,21,7,2,4.55491231311485,1
4,1.18106611936501,21,7,3,5.64132424238454,1
4,1.18106611936501,21,7,4,9.30419427454288,1
4,-0.210318572729981,22,44,1,3.42927146863965,1
4,-0.210318572729981,22,44,2,4.33091947682986,1
4,-0.210318572729981,22,44,3,5.19465553905298,1
4,-0.210318572729981,22,44,4,5.60667066696333,1
3,0.315171466148573,23,40,1,-0.729299104354291,1
3,0.315171466148573,23,40,2,2.61729716618165,1
3,0.315171466148573,23,40,3,3.79670018393485,1
3,0.315171466148573,23,40,4,7.19503663753562,1
2,-1.40366992733737,24,27,1,3.26878493143801,1
2,-1.40366992733737,24,27,2,3.16181234319,1
2,-1.40366992733737,24,27,3,2.01328422265713,1
2,-1.40366992733737,24,27,4,5.48207924799564,1
2,0.392058567525824,25,50,1,3.95007032704977,1
2,0.392058567525824,25,50,2,7.46756416105643,1
2,0.392058567525824,25,50,3,9.97458463580756,1
2,0.392058567525824,25,50,4,13.0552429475156,1
3,0.0013500336953127,28,19,1,1.93399465789278,1
3,0.0013500336953127,28,19,2,2.1506298212622,1
3,0.0013500336953127,28,19,3,4.89426637885471,1
3,0.0013500336953127,28,19,4,6.73505319333638,1
4,0.713458202346741,29,13,1,4.68598242729591,1
4,0.713458202346741,29,13,2,4.43556910610396,1
4,0.713458202346741,29,13,3,7.82888189530123,1
4,0.713458202346741,29,13,4,9.6934083397677,1
4,-0.181014355077017,30,24,1,2.64418408601012,1
4,-0.181014355077017,30,24,2,1.19786121765398,1
4,-0.181014355077017,30,24,3,4.27541591987015,1
4,-0.181014355077017,30,24,4,5.86015596062665,1
2,-0.382141370195897,31,32,1,0.0228107778787459,1
2,-0.382141370195897,31,32,2,2.96690605919808,1
2,-0.382141370195897,31,32,3,3.9059504090302,1
2,-0.382141370195897,31,32,4,5.27082622230003,1
2,-1.35703373385221,32,10,1,2.7871110820279,1
2,-1.35703373385221,32,10,2,2.98691092334756,1
2,-1.35703373385221,32,10,3,5.61509363886078,1
2,-1.35703373385221,32,10,4,5.88017982597355,1
4,0.660376443662458,34,32,1,3.20971031863989,1
4,0.660376443662458,34,32,2,7.92380717769738,1
4,0.660376443662458,34,32,3,8.24946241161043,1
4,0.660376443662458,34,32,4,10.0048585983352,1
2,-0.995213578708275,35,11,1,1.2328450167111,1
2,-0.995213578708275,35,11,2,2.91068544775028,1
2,-0.995213578708275,35,11,3,2.98252238620075,1
2,-0.995213578708275,35,11,4,6.07613410537063,1
3,0.905894926414411,38,47,1,2.11401311981967,1
3,0.905894926414411,38,47,2,3.84481815288342,1
3,0.905894926414411,38,47,3,7.80148017934129,1
3,0.905894926414411,38,47,4,10.3526557249233,1
3,-0.0878306449816239,39,45,1,3.01520764722208,1
3,-0.0878306449816239,39,45,2,4.71257724095203,1
3,-0.0878306449816239,39,45,3,7.31725308999824,1
3,-0.0878306449816239,39,45,4,9.91193068552071,1
4,2.16479841861645,40,50,1,4.96813400242768,1
4,2.16479841861645,40,50,2,9.58139590656624,1
4,2.16479841861645,40,50,3,12.9545849678198,1
4,2.16479841861645,40,50,4,16.5419540124966,1
2,-0.107306917857873,41,18,1,2.55684528084824,1
2,-0.107306917857873,41,18,2,6.64523617645638,1
2,-0.107306917857873,41,18,3,6.52992149480081,1
2,-0.107306917857873,41,18,4,10.5165013098828,1
3,1.26967244237945,42,11,1,1.81728954739457,1
3,1.26967244237945,42,11,2,5.60639826882564,1
3,1.26967244237945,42,11,3,7.4577662740438,1
3,1.26967244237945,42,11,4,10.4850582855829,1
2,2.15129279348703,43,16,1,2.17221007606321,1
2,2.15129279348703,43,16,2,6.34505135020558,1
2,2.15129279348703,43,16,3,9.43618450470819,1
2,2.15129279348703,43,16,4,15.1068162843147,1
4,0.612691237645091,44,37,1,6.21764432772232,1
4,0.612691237645091,44,37,2,7.14085094162288,1
4,0.612691237645091,44,37,3,8.02946655955013,1
4,0.612691237645091,44,37,4,9.36979415789941,1
2,-0.308708912473612,45,50,1,5.26753886556621,1
2,-0.308708912473612,45,50,2,7.00707801965048,1
2,-0.308708912473612,45,50,3,8.14595458515973,1
2,-0.308708912473612,45,50,4,12.6017864047253,1
2,-1.04791849619731,46,33,1,-0.213039022849334,1
2,-1.04791849619731,46,33,2,1.56756140196635,1
2,-1.04791849619731,46,33,3,2.70382678998755,1
2,-1.04791849619731,46,33,4,3.73843721924445,1
3,-0.0875094659707143,47,48,1,2.5097073955429,1
3,-0.0875094659707143,47,48,2,1.52547247977457,1
3,-0.0875094659707143,47,48,3,2.68715402746347,1
3,-0.0875094659707143,47,48,4,5.97119954833484,1
3,-0.388668108441618,49,40,1,1.45284879878461,1
3,-0.388668108441618,49,40,2,2.82025814398903,1
3,-0.388668108441618,49,40,3,3.55374640604013,1
3,-0.388668108441618,49,40,4,4.75061642587877,1
4,-0.179263519464392,52,42,1,1.28780371020357,1
4,-0.179263519464392,52,42,2,1.18384321922416,1
4,-0.179263519464392,52,42,3,2.72809183130079,1
4,-0.179263519464392,52,42,4,6.30950446091562,1
2,-0.933396721910361,54,35,1,4.53347877767708,1
2,-0.933396721910361,54,35,2,3.19097815422499,1
2,-0.933396721910361,54,35,3,5.55453268399689,1
2,-0.933396721910361,54,35,4,5.10129294334036,1
3,-0.407481728548404,55,41,1,2.24894004490832,1
3,-0.407481728548404,55,41,2,1.79359181193996,1
3,-0.407481728548404,55,41,3,4.35143558068132,1
3,-0.407481728548404,55,41,4,4.99946402427705,1
2,1.77787234939493,56,16,1,5.2506271145451,1
2,1.77787234939493,56,16,2,8.55078987873692,1
2,1.77787234939493,56,16,3,13.8835792285246,1
2,1.77787234939493,56,16,4,14.4607133327603,1
2,-1.07812698632893,57,40,1,1.13262531731732,1
2,-1.07812698632893,57,40,2,1.78553035359737,1
2,-1.07812698632893,57,40,3,2.82568574807688,1
2,-1.07812698632893,57,40,4,5.20996839289847,1
2,-0.347040100813273,59,46,1,0.334902179430289,1
2,-0.347040100813273,59,46,2,1.44901853265623,1
2,-0.347040100813273,59,46,3,6.01593717982125,1
2,-0.347040100813273,59,46,4,5.47701119020688,1
3,1.13773246573948,60,2,1,1.6451751021709,1
3,1.13773246573948,60,2,2,5.61970220843668,1
3,1.13773246573948,60,2,3,10.0698015871475,1
3,1.13773246573948,60,2,4,11.3546516877067,1
2,-1.96378656730402,63,39,1,2.75843390395635,1
2,-1.96378656730402,63,39,2,1.31188178330992,1
2,-1.96378656730402,63,39,3,1.43312335949433,1
2,-1.96378656730402,63,39,4,2.30153827804926,1
2,-1.04743350860936,64,32,1,3.60452263778672,1
2,-1.04743350860936,64,32,2,4.10369167383495,1
2,-1.04743350860936,64,32,3,5.36824781420516,1
2,-1.04743350860936,64,32,4,4.87640922741237,1
2,0.135790301424415,65,38,1,2.30969521994086,1
2,0.135790301424415,65,38,2,3.30387018596202,1
2,0.135790301424415,65,38,3,6.77958511144622,1
2,0.135790301424415,65,38,4,8.48564753331751,1
3,0.174217065534019,67,48,1,4.13376380941076,1
3,0.174217065534019,67,48,2,3.08506702898726,1
3,0.174217065534019,67,48,3,7.10231483011581,1
3,0.174217065534019,67,48,4,8.20805955324118,1
4,2.39655309712772,69,19,1,5.29873601313294,1
4,2.39655309712772,69,19,2,8.87283844658187,1
4,2.39655309712772,69,19,3,11.7202934906425,1
4,2.39655309712772,69,19,4,18.9832909617977,1
4,0.0775642285548793,70,39,1,4.9584872835004,1
4,0.0775642285548793,70,39,2,5.78214551921113,1
4,0.0775642285548793,70,39,3,7.68124966615242,1
4,0.0775642285548793,70,39,4,7.27129245783168,1
4,-1.12560938097923,72,3,1,0.838257925396999,1
4,-1.12560938097923,72,3,2,1.9072666632007,1
4,-1.12560938097923,72,3,3,1.61082744314206,1
4,-1.12560938097923,72,3,4,2.32845966009737,1
3,-1.02255852827103,73,11,1,1.9424394322733,1
3,-1.02255852827103,73,11,2,1.41645374563889,1
3,-1.02255852827103,73,11,3,1.74802755028254,1
3,-1.02255852827103,73,11,4,2.32755043148825,1
4,-1.02122479069731,75,19,1,3.46096045948582,1
4,-1.02122479069731,75,19,2,4.80906694082855,1
4,-1.02122479069731,75,19,3,2.83830069494078,1
4,-1.02122479069731,75,19,4,4.36163454228684,1
2,-2.65890623193067,76,45,1,-0.757380669126212,1
2,-2.65890623193067,76,45,2,-3.54686961169457,1
2,-2.65890623193067,76,45,3,-3.85901912095615,1
2,-2.65890623193067,76,45,4,-5.17675270518446,1
2,-2.9546189035091,77,16,1,-3.49636233559426,1
2,-2.9546189035091,77,16,2,-3.30877646849271,1
2,-2.9546189035091,77,16,3,-3.80776244713374,1
2,-2.9546189035091,77,16,4,-4.49224185489638,1
3,0.0558075441080487,79,12,1,0.235121268901386,1
